,Year_Birth,Education,ages,Marital_Status,PhD,Basic,2n Cycle,Master,Graduation,Income,single,married,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,months,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Total_Spent,Total_Spent_Per_Month,TotalChildren,HasChildren
555,1952,Graduation,64,Together,0,0,0,0,1,43462.0,0,1,1,1,12-09-2012,50,90,51,17,97,15,6,15,6,4,1,5,8,0,0,0,0,0,0,3,11,0,240,510.0,2,1
556,1978,PhD,38,Single,1,0,0,0,0,54880.0,1,0,1,0,01-03-2013,57,308,45,85,137,102,45,118,2,6,2,11,5,0,0,0,0,0,0,3,11,0,795,1490.625,1,1
557,1982,Graduation,34,Married,0,0,0,0,1,79908.0,0,1,0,0,05-04-2013,30,557,44,129,761,29,185,111,1,5,6,7,2,0,0,1,0,0,0,3,11,0,1772,3248.6666666666665,0,0
558,1970,2n Cycle,46,Married,0,0,1,0,0,15315.0,0,1,0,0,03-08-2013,27,7,40,4,13,15,8,17,2,2,0,4,5,0,0,0,0,0,0,3,11,0,64,106.66666666666667,0,0
559,1959,Graduation,57,Together,0,0,0,0,1,87771.0,0,1,0,1,22-05-2013,61,1492,43,38,287,50,57,33,1,5,10,4,6,0,1,1,1,1,0,3,11,1,1957,3506.2916666666665,1,1
560,1978,Graduation,38,Married,0,0,0,0,1,33039.0,0,1,1,0,09-09-2013,4,30,39,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,3,11,0,78,126.75,1,1
561,1980,Graduation,36,Single,0,0,0,0,1,81741.0,1,0,0,0,16-06-2013,75,249,42,153,940,58,134,38,0,6,6,7,2,0,0,0,0,0,0,3,11,0,1572,2751.0,0,0
562,1971,Master,45,Together,0,0,0,1,0,71499.0,0,1,0,1,25-06-2013,12,465,42,25,132,136,0,37,2,8,3,13,4,0,0,0,0,0,0,3,11,0,795,1391.25,1,1
563,1970,2n Cycle,46,Married,0,0,1,0,0,62466.0,0,1,0,1,15-01-2014,13,129,35,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,3,11,0,889,1296.4583333333333,1,1
564,1963,PhD,53,Divorced,1,0,0,0,0,48799.0,1,0,0,1,05-11-2013,9,174,37,18,81,28,6,24,3,3,2,7,3,0,0,0,0,0,0,3,11,0,331,510.2916666666667,1,1
565,1950,PhD,66,Together,1,0,0,0,0,52157.0,0,1,0,1,07-06-2014,48,189,30,2,29,3,2,40,2,3,2,5,4,0,0,0,0,0,0,3,11,0,265,331.25,1,1
566,1962,Graduation,54,Single,0,0,0,0,1,66565.0,1,0,0,1,05-12-2012,80,747,48,10,161,65,40,42,4,4,2,9,8,0,0,0,0,0,0,3,11,0,1065,2130.0,1,1
567,1951,Master,65,Together,0,0,0,1,0,29298.0,0,1,1,1,07-09-2013,60,6,39,0,2,2,0,1,1,1,0,2,5,0,0,0,0,0,0,3,11,0,11,17.875,2,1
568,1979,Graduation,37,Single,0,0,0,0,1,47691.0,1,0,0,1,05-07-2013,43,14,41,0,3,0,0,4,1,1,0,2,6,0,0,0,0,0,0,3,11,0,21,35.875,1,1
569,1970,Graduation,46,Together,0,0,0,0,1,38200.0,0,1,1,1,07-12-2012,19,12,48,0,4,0,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,17,34.0,2,1
570,1974,Graduation,42,Married,0,0,0,0,1,44989.0,0,1,0,1,12-09-2012,26,98,51,0,106,49,10,106,5,5,1,5,6,0,0,0,0,0,0,3,11,0,369,784.125,1,1
571,1968,PhD,48,Married,1,0,0,0,0,38443.0,0,1,1,1,27-01-2014,58,32,35,0,5,0,0,1,2,1,0,3,7,0,0,0,0,0,0,3,11,0,38,55.416666666666664,2,1
572,1978,2n Cycle,38,Single,0,0,1,0,0,38593.0,1,0,1,0,13-09-2013,42,51,39,12,49,17,24,24,3,4,1,3,8,0,0,0,0,0,0,3,11,0,177,287.625,1,1
573,1970,PhD,46,Together,1,0,0,0,0,64413.0,0,1,0,1,01-08-2013,27,200,40,5,44,0,10,20,1,5,1,5,5,0,0,0,0,0,0,3,11,0,279,465.0,1,1
574,1981,Master,35,Married,0,0,0,1,0,36959.0,0,1,1,0,02-10-2013,56,25,38,6,25,6,0,0,2,2,0,3,8,0,0,0,0,0,0,3,11,0,62,98.16666666666667,1,1
575,1977,PhD,39,Married,1,0,0,0,0,61996.0,0,1,0,1,31-01-2013,27,1050,47,12,144,0,0,24,3,6,4,8,5,0,1,0,1,1,0,3,11,1,1230,2408.75,1,1
576,1968,Graduation,48,Married,0,0,0,0,1,51287.0,0,1,1,1,01-04-2014,10,117,32,0,22,13,0,30,3,4,1,3,7,0,0,0,0,0,0,3,11,0,182,242.66666666666666,2,1
577,1970,Graduation,46,Married,0,0,0,0,1,13260.0,0,1,1,1,23-08-2013,48,9,40,4,17,10,2,7,4,3,0,3,8,0,0,0,0,0,0,3,11,0,49,81.66666666666667,2,1
578,1966,PhD,50,Together,1,0,0,0,0,47472.0,0,1,1,1,16-09-2013,39,56,39,0,11,0,0,8,2,2,0,4,5,0,0,0,0,0,0,3,11,0,75,121.875,2,1
579,1956,Master,60,Together,0,0,0,1,0,54603.0,0,1,1,1,09-07-2013,85,145,41,13,46,17,2,4,6,4,2,4,7,0,0,0,0,0,0,3,11,0,227,387.7916666666667,2,1
580,1974,PhD,42,Married,1,0,0,0,0,45207.0,0,1,1,1,10-11-2012,64,203,49,0,10,0,0,2,5,3,1,6,6,0,1,0,0,0,0,3,11,0,215,438.9583333333333,2,1
581,1951,Graduation,65,Together,0,0,0,0,1,40689.0,0,1,0,1,18-03-2013,69,270,45,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,444,832.5,1,1
582,1967,2n Cycle,49,Together,0,0,1,0,0,47821.0,0,1,1,1,20-10-2013,54,9,38,0,16,6,6,10,1,1,0,3,8,0,0,0,0,0,0,3,11,0,47,74.41666666666667,2,1
583,1951,Master,65,Married,0,0,0,1,0,27450.0,0,1,0,0,15-04-2013,57,37,44,12,23,8,11,52,1,2,1,3,7,0,0,0,0,0,0,3,11,0,143,262.1666666666667,0,0
584,1983,Graduation,33,Together,0,0,0,0,1,39453.0,0,1,1,0,03-04-2014,64,46,32,0,7,0,0,2,2,2,0,3,6,0,0,0,0,0,0,3,11,0,55,73.33333333333333,1,1
585,1971,2n Cycle,45,Together,0,0,1,0,0,26850.0,0,1,1,1,18-04-2014,10,31,32,1,13,7,2,9,4,2,1,4,4,0,0,0,0,0,0,3,11,0,63,84.0,2,1
586,1955,Graduation,61,Widow,0,0,0,0,1,79800.0,1,0,0,0,23-09-2012,65,1060,51,21,530,32,0,224,1,5,11,5,3,1,0,1,1,0,0,3,11,1,1867,3967.375,0,0
587,1961,Master,55,Married,0,0,0,1,0,61794.0,0,1,0,1,14-09-2013,74,264,39,47,188,54,47,11,2,4,4,10,2,0,0,0,0,0,0,3,11,0,611,992.875,1,1
588,1955,Graduation,61,Together,0,0,0,0,1,53863.0,0,1,0,1,17-05-2014,4,399,31,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,3,11,0,473,610.9583333333334,1,1
589,1959,Graduation,57,Together,0,0,0,0,1,24221.0,0,1,0,0,20-08-2013,94,8,40,9,9,2,5,22,1,1,1,3,4,0,0,0,0,0,0,3,11,0,55,91.66666666666667,0,0
590,1984,PhD,32,Single,1,0,0,0,0,39684.0,1,0,1,0,12-10-2012,41,19,50,0,35,6,4,17,2,2,1,2,7,0,0,0,0,0,1,3,11,1,81,168.75,1,1
591,1975,Master,41,Married,0,0,0,1,0,92163.0,0,1,0,0,12-12-2012,25,817,48,183,797,106,163,20,0,5,11,5,2,0,0,1,1,0,0,3,11,1,2086,4172.0,0,0
592,1965,Master,51,Single,0,0,0,1,0,69882.0,1,0,0,0,10-11-2013,94,292,37,127,635,132,127,165,1,3,7,9,1,0,0,0,0,0,0,3,11,0,1478,2278.5833333333335,0,0
593,1977,Graduation,39,Together,0,0,0,0,1,33178.0,0,1,1,0,30-01-2014,9,12,35,6,2,11,2,16,1,1,0,3,4,0,0,0,0,0,0,3,11,0,49,71.45833333333333,1,1
594,1972,PhD,44,Married,1,0,0,0,0,59973.0,0,1,0,0,11-09-2013,47,130,39,30,168,20,34,0,1,3,4,7,1,0,0,0,0,0,0,3,11,0,382,620.75,0,0
595,1975,Master,41,Together,0,0,0,1,0,17459.0,0,1,1,0,19-09-2013,12,6,39,4,16,3,10,30,3,3,1,2,7,0,0,0,0,0,0,3,11,1,69,112.125,1,1
596,1969,Graduation,47,Divorced,0,0,0,0,1,23910.0,1,0,1,0,26-10-2012,80,16,50,12,18,7,1,13,1,2,0,3,7,0,0,0,0,0,0,3,11,0,67,139.58333333333334,1,1
597,1969,Master,47,Married,0,0,0,1,0,42169.0,0,1,1,1,19-10-2013,20,19,38,0,9,0,0,2,2,1,0,3,8,0,0,0,0,0,0,3,11,0,30,47.5,2,1
598,1978,2n Cycle,38,Married,0,0,1,0,0,26224.0,0,1,1,0,04-06-2013,39,4,42,7,15,13,9,15,3,2,1,3,6,0,0,0,0,0,0,3,11,0,63,110.25,1,1
599,1981,Graduation,35,Together,0,0,0,0,1,31089.0,0,1,1,0,17-08-2012,57,31,52,3,31,2,8,4,3,3,0,4,8,0,0,0,0,0,0,3,11,0,79,171.16666666666666,1,1
600,1961,Graduation,55,Single,0,0,0,0,1,30081.0,1,0,0,1,21-02-2013,27,36,46,0,2,0,0,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,42,80.5,1,1
601,1960,Graduation,56,Together,0,0,0,0,1,62807.0,0,1,0,1,31-08-2012,83,526,52,28,135,10,21,99,3,5,3,12,5,0,0,0,0,0,0,3,11,0,819,1774.5,1,1
602,1955,Graduation,61,Single,0,0,0,0,1,72906.0,1,0,0,0,17-09-2013,79,400,39,32,519,71,75,54,1,3,4,9,1,0,0,0,0,0,0,3,11,0,1151,1870.375,0,0
603,1948,PhD,68,Married,1,0,0,0,0,61467.0,0,1,0,2,09-12-2012,69,410,48,16,114,0,5,49,3,5,2,10,5,0,0,0,0,0,0,3,11,0,594,1188.0,2,1
604,1966,Master,50,Together,0,0,0,1,0,49618.0,0,1,1,1,26-01-2013,77,80,47,3,26,4,2,14,4,3,1,3,7,0,0,0,0,0,0,3,11,0,129,252.625,2,1
605,1986,Master,30,Single,0,0,0,1,0,21888.0,1,0,1,0,29-12-2012,15,88,48,10,46,2,3,64,4,5,1,2,10,0,0,0,0,0,0,3,11,1,213,426.0,1,1
606,1973,Graduation,43,Widow,0,0,0,0,1,42429.0,1,0,0,1,11-02-2014,99,55,34,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,67,94.91666666666667,1,1
607,1956,Graduation,60,Divorced,0,0,0,0,1,26150.0,1,0,2,1,11-03-2013,61,5,45,1,13,3,5,1,1,1,0,3,7,0,0,0,0,0,0,3,11,0,28,52.5,3,1
608,1975,Basic,41,Married,0,1,0,0,0,30801.0,0,1,0,1,26-10-2012,23,8,50,4,5,15,2,11,2,1,0,3,7,0,0,0,0,0,0,3,11,0,45,93.75,1,1
609,1965,Graduation,51,Married,0,0,0,0,1,81168.0,0,1,0,0,07-05-2014,84,410,31,0,592,147,22,22,1,6,4,7,3,0,0,0,1,0,0,3,11,0,1193,1540.9583333333333,0,0
610,1969,Master,47,Single,0,0,0,1,0,26877.0,1,0,0,0,19-08-2013,74,101,40,13,76,20,18,40,2,3,1,6,6,0,0,0,0,0,0,3,11,0,268,446.6666666666667,0,0
611,1944,Master,72,Widow,0,0,0,1,0,45006.0,1,0,0,0,18-07-2013,90,162,41,25,53,16,0,10,1,3,1,7,3,0,0,0,0,0,0,3,11,0,266,454.4166666666667,0,0
612,1973,Basic,43,Married,0,1,0,0,0,18978.0,0,1,1,0,11-12-2012,41,2,48,8,1,4,7,15,1,1,0,3,8,0,0,0,0,0,0,3,11,0,37,74.0,1,1
613,1967,Graduation,49,Married,0,0,0,0,1,22574.0,0,1,2,1,28-10-2013,28,25,38,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,37,58.583333333333336,3,1
614,1969,PhD,47,Single,1,0,0,0,0,48240.0,1,0,0,0,09-11-2012,73,389,49,91,248,64,49,41,3,6,3,13,5,0,0,0,0,0,0,3,11,1,882,1800.75,0,0
615,1974,Graduation,42,Married,0,0,0,0,1,45837.0,0,1,1,1,26-07-2013,88,215,41,13,87,17,17,24,5,6,2,5,7,0,0,0,0,0,0,3,11,0,373,637.2083333333334,2,1
616,1965,Master,51,Single,0,0,0,1,0,35791.0,1,0,2,1,06-05-2013,94,27,43,0,5,0,0,3,2,1,0,3,8,0,0,0,0,0,0,3,11,0,35,62.708333333333336,3,1
617,1976,PhD,40,Together,1,0,0,0,0,162397.0,0,1,1,1,03-06-2013,31,85,42,1,16,2,1,2,0,0,0,1,1,0,0,0,0,0,0,3,11,0,107,187.25,2,1
618,1978,Graduation,38,Widow,0,0,0,0,1,54162.0,1,0,1,1,18-03-2013,31,5,45,6,10,6,5,10,1,1,0,3,4,0,0,0,0,0,0,3,11,0,42,78.75,2,1
619,1960,Master,56,Married,0,0,0,1,0,30522.0,0,1,0,1,17-08-2012,6,179,52,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,3,11,0,326,706.3333333333334,1,1
620,1961,PhD,55,Married,1,0,0,0,0,54456.0,0,1,0,1,11-07-2013,23,352,41,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,3,11,0,404,690.1666666666666,1,1
621,1971,Graduation,45,Single,0,0,0,0,1,31632.0,1,0,0,0,14-07-2013,92,17,41,8,12,11,15,32,1,2,1,2,7,0,0,0,0,0,0,3,11,0,95,162.29166666666666,0,0
622,1949,Graduation,67,Widow,0,0,0,0,1,72298.0,1,0,0,0,10-03-2014,52,625,33,35,169,58,17,35,1,4,3,6,1,0,1,1,0,0,0,3,11,0,939,1291.125,0,0
623,1978,2n Cycle,38,Single,0,0,1,0,0,36975.0,1,0,1,0,28-12-2013,50,10,36,6,11,0,4,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,33,49.5,1,1
624,1955,2n Cycle,61,Married,0,0,1,0,0,72635.0,0,1,0,0,03-06-2013,54,390,42,22,323,104,35,107,1,6,8,6,3,0,0,0,1,0,0,3,11,0,981,1716.75,0,0
625,1976,Graduation,40,Married,0,0,0,0,1,13624.0,0,1,1,0,20-01-2013,93,10,47,2,15,2,1,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0,36,70.5,1,1
626,1975,Graduation,41,Single,0,0,0,0,1,84196.0,1,0,0,1,03-06-2013,56,215,42,63,507,231,31,190,1,8,4,7,3,0,0,0,0,0,0,3,11,0,1237,2164.75,1,1
627,1960,Graduation,56,Together,0,0,0,0,1,70971.0,0,1,0,1,21-09-2012,28,1001,51,17,572,93,125,17,7,11,11,5,7,0,0,0,0,0,0,3,11,1,1825,3878.125,1,1
628,1977,PhD,39,Divorced,1,0,0,0,0,34487.0,1,0,1,1,06-09-2012,94,19,51,18,33,24,1,8,3,3,0,3,9,0,0,0,0,0,0,3,11,0,103,218.875,2,1
629,1977,Graduation,39,Single,0,0,0,0,1,28769.0,1,0,1,0,18-12-2012,76,41,48,5,129,10,3,3,3,4,1,4,9,0,0,0,0,0,0,3,11,0,191,382.0,1,1
630,1970,PhD,46,Married,1,0,0,0,0,69084.0,0,1,1,0,19-11-2013,43,1181,37,107,199,39,30,30,2,7,3,13,8,0,0,0,0,0,0,3,11,0,1586,2445.0833333333335,1,1
631,1958,PhD,58,Together,1,0,0,0,0,65488.0,0,1,0,0,13-06-2014,46,603,30,45,207,36,18,54,1,3,4,6,1,0,0,0,0,0,0,3,11,0,963,1203.75,0,0
632,1970,2n Cycle,46,Married,0,0,1,0,0,62466.0,0,1,0,1,15-01-2014,13,129,35,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,3,11,0,889,1296.4583333333333,1,1
633,1960,2n Cycle,56,Single,0,0,1,0,0,32218.0,1,0,0,0,15-02-2014,27,10,34,24,15,13,1,30,1,2,1,3,7,1,0,0,0,0,0,3,11,1,93,131.75,0,0
634,1973,Graduation,43,Single,0,0,0,0,1,83917.0,1,0,0,0,18-04-2013,12,514,44,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,0,3,11,1,1587,2909.5,0,0
635,1962,Graduation,54,Divorced,0,0,0,0,1,46102.0,1,0,2,1,10-03-2014,3,14,33,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,16,22.0,3,1
636,1952,Graduation,64,Single,0,0,0,0,1,84574.0,1,0,0,0,04-06-2013,72,387,42,20,713,38,54,163,1,9,11,11,5,0,0,0,0,0,0,3,11,0,1375,2406.25,0,0
637,1962,Graduation,54,Married,0,0,0,0,1,56181.0,0,1,0,1,08-01-2013,6,121,47,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,3,11,0,393,769.625,1,1
638,1950,Master,66,Divorced,0,0,0,1,0,63120.0,1,0,0,1,28-09-2012,53,965,51,69,279,54,41,69,5,8,4,9,7,0,0,0,0,0,0,3,11,1,1477,3138.625,1,1
639,1971,Graduation,45,Married,0,0,0,0,1,73691.0,0,1,0,1,06-11-2013,58,707,37,21,250,85,43,73,2,6,2,8,2,1,0,0,0,0,0,3,11,0,1179,1817.625,1,1
640,1960,Graduation,56,Together,0,0,0,0,1,63381.0,0,1,0,1,05-10-2012,78,571,50,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,3,11,0,1005,2093.75,1,1
641,1948,PhD,68,Together,1,0,0,0,0,76140.0,0,1,0,0,13-05-2014,57,586,31,66,653,17,0,26,1,5,9,6,2,0,0,0,0,0,0,3,11,0,1348,1741.1666666666667,0,0
642,1959,PhD,57,Divorced,1,0,0,0,0,62859.0,1,0,0,1,30-12-2012,37,1063,48,89,102,16,12,25,4,9,4,6,6,0,0,0,0,0,0,3,11,0,1307,2614.0,1,1
643,1964,Graduation,52,Single,0,0,0,0,1,45906.0,1,0,0,1,07-05-2013,20,305,43,3,27,4,3,144,2,5,4,4,5,1,0,0,0,0,0,3,11,0,486,870.75,1,1
644,1947,Master,69,Together,0,0,0,1,0,77632.0,0,1,0,0,10-03-2013,73,1200,45,105,758,0,42,147,1,4,2,6,2,0,1,1,0,0,0,3,11,1,2252,4222.5,0,0
645,1971,PhD,45,Married,1,0,0,0,0,46463.0,0,1,1,1,18-08-2013,56,163,40,2,40,8,11,11,7,3,1,6,6,0,0,0,0,0,0,3,11,0,235,391.6666666666667,2,1
646,1970,Graduation,46,Together,0,0,0,0,1,105471.0,0,1,0,0,21-01-2013,36,1009,47,181,104,202,21,207,0,9,8,13,3,0,0,1,1,0,0,3,11,1,1724,3376.1666666666665,0,0
647,1970,Master,46,Divorced,0,0,0,1,0,55282.0,1,0,1,0,13-12-2013,9,125,36,6,73,8,4,19,1,3,1,6,4,0,0,0,0,0,0,3,11,0,235,352.5,1,1
648,1977,Master,39,Married,0,0,0,1,0,78710.0,0,1,0,1,23-05-2014,42,721,31,0,152,119,50,50,3,7,6,12,4,0,0,0,0,0,0,3,11,0,1092,1410.5,1,1
649,1958,Graduation,58,Together,0,0,0,0,1,66886.0,0,1,0,1,16-09-2013,28,315,39,4,62,41,31,146,2,7,1,7,5,0,0,0,0,0,0,3,11,0,599,973.375,1,1
650,1960,Master,56,Single,0,0,0,1,0,98777.0,1,0,0,0,17-02-2014,23,1000,34,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,0,3,11,0,2008,2844.6666666666665,0,0
651,1985,Graduation,31,Together,0,0,0,0,1,29103.0,0,1,1,0,27-08-2012,38,16,52,0,17,6,3,6,2,1,0,3,9,0,0,0,0,0,0,3,11,0,48,104.0,1,1
652,1974,Graduation,42,Married,0,0,0,0,1,67445.0,0,1,0,1,12-08-2012,63,757,52,80,217,29,80,11,5,9,6,12,6,0,0,0,0,0,0,3,11,0,1174,2543.6666666666665,1,1
653,1950,PhD,66,Together,1,0,0,0,0,50616.0,0,1,0,1,13-04-2014,71,30,32,2,25,0,1,9,1,1,1,4,2,0,0,0,0,0,0,3,11,0,67,89.33333333333333,1,1
654,1955,Graduation,61,Divorced,0,0,0,0,1,49431.0,1,0,0,1,03-08-2012,9,219,52,3,100,26,0,17,2,7,1,5,8,0,0,0,0,0,0,3,11,0,365,790.8333333333334,1,1
655,1975,Graduation,41,Divorced,0,0,0,0,1,153924.0,1,0,0,0,07-02-2014,81,1,34,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,11,0,6,8.5,0,0
656,1953,Graduation,63,Together,0,0,0,0,1,61278.0,0,1,0,1,04-01-2014,87,111,35,3,28,2,6,15,2,3,1,4,6,0,0,0,0,0,0,3,11,0,165,240.625,1,1
657,1958,2n Cycle,58,Together,0,0,1,0,0,26490.0,0,1,0,0,22-09-2012,92,45,51,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,3,11,0,210,446.25,0,0
658,1947,PhD,69,Together,1,0,0,0,0,73059.0,0,1,0,1,31-08-2013,36,410,40,112,420,0,82,71,1,9,3,13,4,0,0,0,0,0,0,3,11,0,1095,1825.0,1,1
659,1966,PhD,50,Single,1,0,0,0,0,46734.0,1,0,1,2,21-10-2013,86,100,38,1,39,6,1,76,4,3,2,3,6,1,0,0,0,0,0,3,11,0,223,353.0833333333333,3,1
660,1963,Graduation,53,Together,0,0,0,0,1,56253.0,0,1,0,1,07-12-2012,83,509,48,0,65,7,11,5,4,7,2,9,6,0,0,0,0,0,0,3,11,0,597,1194.0,1,1
661,1985,Graduation,31,Married,0,0,0,0,1,19986.0,0,1,1,0,14-11-2013,74,3,37,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,3,11,0,22,33.916666666666664,1,1
662,1975,Graduation,41,Widow,0,0,0,0,1,58330.0,1,0,0,1,25-12-2013,87,445,36,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,3,11,0,1064,1596.0,1,1
663,1980,Basic,36,Married,0,1,0,0,0,25965.0,0,1,0,0,07-09-2012,29,2,51,2,11,41,7,11,1,2,0,3,8,0,0,0,0,0,0,3,11,0,74,157.25,0,0
664,1956,Master,60,Together,0,0,0,1,0,14661.0,0,1,0,0,01-01-2013,88,4,47,1,11,6,2,2,1,1,0,3,6,0,0,0,0,0,0,3,11,0,26,50.916666666666664,0,0
665,1959,Graduation,57,Married,0,0,0,0,1,18690.0,0,1,0,0,28-12-2012,77,6,48,1,7,23,4,19,1,1,1,2,8,0,0,0,0,0,0,3,11,0,60,120.0,0,0
666,1974,PhD,42,Together,1,0,0,0,0,45068.0,0,1,0,1,16-05-2013,25,14,43,0,3,0,0,3,1,1,0,2,7,0,0,0,0,0,0,3,11,0,20,35.833333333333336,1,1
667,1987,Basic,29,Single,0,1,0,0,0,21063.0,1,0,1,0,25-09-2013,34,1,39,10,11,19,3,15,2,2,0,3,6,0,0,0,0,0,0,3,11,0,59,95.875,1,1
668,1968,PhD,48,Married,1,0,0,0,0,29187.0,0,1,1,0,09-05-2013,43,26,43,0,6,0,0,2,1,1,0,3,8,0,0,0,0,0,0,3,11,0,34,60.916666666666664,1,1
669,1971,2n Cycle,45,Married,0,0,1,0,0,54690.0,0,1,1,1,07-11-2013,76,111,37,16,37,7,9,18,3,3,1,5,3,0,0,0,0,0,0,3,11,0,198,305.25,2,1
670,1964,PhD,52,Married,1,0,0,0,0,59304.0,0,1,0,1,29-07-2013,81,418,41,61,428,80,51,10,3,7,8,10,5,0,0,0,0,0,0,3,11,0,1048,1790.3333333333333,1,1
671,1962,Master,54,Single,0,0,0,1,0,59247.0,1,0,0,2,08-11-2013,87,327,37,9,122,19,14,83,5,5,2,9,6,0,0,0,0,0,0,3,11,0,574,884.9166666666666,2,1
672,1970,Graduation,46,Widow,0,0,0,0,1,66731.0,1,0,0,1,12-09-2012,33,371,51,159,194,58,106,141,4,4,3,6,3,0,0,0,0,0,0,3,11,0,1029,2186.625,1,1
673,1980,Graduation,36,Married,0,0,0,0,1,77353.0,0,1,0,1,16-12-2013,38,275,36,59,107,69,101,59,2,6,4,8,4,0,0,0,0,0,0,3,11,0,670,1005.0,1,1
674,1975,PhD,41,Single,1,0,0,0,0,52614.0,1,0,0,1,01-12-2012,63,789,48,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,3,11,0,990,1980.0,1,1
675,1974,Graduation,42,Married,0,0,0,0,1,26751.0,0,1,2,0,22-05-2014,26,1,31,1,5,0,3,1,1,1,0,2,8,0,0,0,0,0,0,3,11,0,11,14.208333333333334,2,1
676,1963,PhD,53,Married,1,0,0,0,0,81300.0,0,1,0,1,30-10-2012,17,1004,50,12,145,32,12,36,3,10,3,5,5,0,0,0,1,0,0,3,11,1,1241,2585.4166666666665,1,1
677,1979,Graduation,37,Single,0,0,0,0,1,70337.0,1,0,0,0,02-01-2014,75,187,35,81,149,25,43,91,1,2,2,12,1,0,0,0,0,0,0,3,11,0,576,840.0,0,0
678,1985,2n Cycle,31,Married,0,0,1,0,0,36145.0,0,1,1,0,16-06-2013,13,56,42,4,76,17,1,18,4,4,1,3,9,1,0,0,0,0,0,3,11,1,172,301.0,1,1
679,1980,PhD,36,Single,1,0,0,0,0,65295.0,1,0,0,0,23-12-2013,19,365,36,32,117,34,110,6,1,3,3,13,2,0,0,0,0,0,0,3,11,0,664,996.0,0,0
680,1963,Graduation,53,Divorced,0,0,0,0,1,68118.0,1,0,0,1,18-10-2013,51,595,38,23,123,10,23,154,2,8,9,4,6,0,0,0,0,0,0,3,11,0,928,1469.3333333333333,1,1
681,1967,Graduation,49,Divorced,0,0,0,0,1,68743.0,1,0,0,0,30-08-2012,81,1132,52,134,384,175,134,115,1,11,5,13,7,0,0,0,0,0,0,3,11,0,2074,4493.666666666667,0,0
682,1982,2n Cycle,34,Together,0,0,1,0,0,41039.0,0,1,0,0,25-07-2013,32,34,41,11,137,179,61,45,1,8,1,5,8,0,0,0,0,0,0,3,11,0,467,797.7916666666666,0,0
683,1955,Graduation,61,Together,0,0,0,0,1,38946.0,0,1,0,1,24-10-2013,84,116,38,6,82,6,6,41,2,3,1,6,5,0,0,0,0,0,0,3,11,0,257,406.9166666666667,1,1
684,1967,Graduation,49,Together,0,0,0,0,1,65777.0,0,1,0,0,19-12-2013,87,565,36,32,435,28,32,54,1,2,8,6,1,0,0,0,0,0,0,3,11,0,1146,1719.0,0,0
685,1976,PhD,40,Divorced,1,0,0,0,0,66476.0,1,0,0,1,07-03-2013,99,372,45,18,126,47,48,78,2,5,2,11,4,0,0,0,0,0,0,3,11,0,689,1291.875,1,1
686,1972,PhD,44,Single,1,0,0,0,0,86857.0,1,0,0,0,12-09-2012,96,899,51,102,838,133,102,40,1,5,6,10,2,0,0,0,0,0,0,3,11,1,2114,4492.25,0,0
687,1982,PhD,34,Married,1,0,0,0,0,160803.0,0,1,0,0,04-08-2012,21,55,52,16,1622,17,3,4,15,0,28,1,0,0,0,0,0,0,0,3,11,0,1717,3720.1666666666665,0,0
688,1989,PhD,27,Together,1,0,0,0,0,77845.0,0,1,0,0,16-05-2014,40,760,31,40,480,0,40,26,1,3,5,12,1,0,0,1,1,0,0,3,11,0,1346,1738.5833333333333,0,0
689,1969,PhD,47,Together,1,0,0,0,0,69476.0,0,1,0,0,30-09-2013,3,260,39,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,3,11,0,1044,1696.5,0,0
